Name,Mutually exclusive,Points,Description,Effect,
Agoraphobic, "Adrenaline Junkie, Claustrophobic, Desensitized", 4, Gets panicked when outdoors, Enters in Panic when outdoors and affects search mode.",
All Thumbs, Dextrous, 2, Transfers inventory items slowly, 400% inventory transferring time.,
Asthmatic, -, 5, "Faster endurance loss", 140% running/sprinting endurance loss. 130% increase in swing endurance lost.,
Claustrophobic, "Adrenaline Junkie, Agoraphobic, Desensitized", 4, "Gets panicked when indoors", Enters in Panic when indoors.,
Clumsy Graceful, 2, "Makes more noise when moving", 120% footsteps sound radius, 110% chance to trip while run/sprint vaulting a low fence or lunging zombies.,
Conspicuous Inconspicuous, -, 4, "More likely to be spotted by zombies.", 200% chance of getting spotted by zombies.,
Cowardly, "Adrenaline Junkie, Brave, Desensitized", 2, "Especially prone to becoming panicked", 200% panic except for night terrors and phobias.,
Deaf, "Hard of Hearing, Keen Hearing", 12, "Smaller perception radius and hearing range", "Can't hear sound. Radio chatter will not appear above the radio, however, they can see/read a TV due to closed captions.",
Disorganized, Organized, 4, "Decreased container inventory capacity", 70% capacity for all containers - including boxes and cupboards.,
Emaciated, -, -, "Low strength and low endurance and prone to injury", Is only present at weight 50 and less and will begin taking damage at weight 35. 40% melee damage. 75% chance to fail to climb a tall fence. 30% endurance regeneration. 20 more fall damage.,
Feeble, "Strong, Stout, Weak", 6, "Less knockback from melee weapons. Decreased carrying weight.", -2 Strength,
Hard of Hearing, "Deaf, Keen Hearing", 4, "Smaller perception radius. Smaller hearing range.", "Besides the decreased perception radius, the range of sound will be decreased and the sound effects will be muffled.",
Hearty Appetite, "Light Eater, Very Underweight", 4, "Needs to eat more regularly", "150% hunger. Gives a +3% bonus to packaged foods, mushrooms, berries, and animals for foraging.",
Fear of Blood, Desensitized, 5, "Panic when performing first aid on self, cannot perform first aid on others, gets stressed when bloody", -,
High Thirst, Low Thirst, 6, "Needs more water to survive", 200% thirst,
Illiterate, "Fast Reader, Slow Reader", 8 "Cannot read books", Unable to get a mood boost by reading leisure books, "learning new recipes by reading recipe magazines, or getting an XP multiplier by reading skill books.",
Out of Shape, "Athletic, Fit, Unfit", 6 "Low endurance, low endurance regeneration.", -2 Fitness,
Obese, "Athletic, Fit, Out of Shape, Overweight, Underweight, Very Underweight", 10, "Reduced running speed, very low endurance and prone to injury.", -2 Fitness. Max Fitness of 8. The trait itself reduce run speed and endurance. Starting weight is 105 and is only present at weights 100 and above. 120% chance to trip while run/sprint vaulting a low fence. 90% chance to trip from lunging zombies. 75% chance to climb a tall fence. 40% endurance regeneration. 20 more fall damage.,
Overweight, "Athletic, Fit, Out of Shape, Obese, Underweight, Very Underweight", 6, "Reduced running speed, low endurance and prone to injury.", "Max Fitness of 9. Starting weight is 90 and is only present between weights 85 and 100. 1% slower running speed, 200% endurance loss. 110% chance to trip while run/sprint vaulting a low fence. 95% chance to trip by lunging zombies. 85% chance to climb a tall fence. 70% endurance regeneration.",
Pacifist, -, 4, "Less effective with weapons", "75% of skill EXP for Short Blade, Long Blade, Small Blunt, Long Blunt, Axe, Spear, Maintenance and Aiming.",
Prone to Illness, Resilient, 4, "More prone to disease. Faster rate of zombification.", "125% progression rate of zombification. 170% chance of catching a cold, 120% cold strength, and 150% cold progression speed.",
Restless Sleeper, -, 6, "Slow loss of tiredness while sleeping", "Sleep for fewer hours each time, and slower loss of tiredness when sleeping.",
Short Sighted, Eagle Eyed, 2, "Small view distance. Slower visibility fade.", -2 foraging radius in search mode. Can be negated with glasses and reading glasses.,
Sleepyhead, Wakeful, 4, "Needs more sleep", "+30% Fatigue increase rate, -10% Sleep efficiency.",
Smoker, -, 4, "Stress and unhappiness decrease after smoking tobacco. Unhappiness rises when tobacco is not smoked.", Stress will constantly slowly rise. Smoking Cigarettes will lower the stress level.
Slow Healer, Fast Healer, 6, "Recovers slowly from injuries and illness", "Does not apply to exercise fatigue. Recently inflicted injuries have more severity. Including Scratches, Lacerations, Lodged Bullets, Deep wounds (with/without glass), Bites, and Fractures. (Check Health for more details.)",
Slow Learner, Fast Learner, 6, "Decreased XP gains", 70% XP in all skills except Strength and Fitness.,
Slow Reader, "Fast Reader, Illiterate", 2, "Takes longer to read books", 70% reading speed.,
Sunday driver, Speed Demon, 1, "The very slow driver", Accelerates vehicles 40% slower. Has a max speed of 30 km/h.,
Thin-skinned, Thick Skinned, 8, "Increased chance of scratches, lacerations, or bites breaking the skin.", "Multiplies the chance of not being injured by a zombie attack by 0.7 (base 15% chance, modified by character's weapon skill). Additionally, alters the chance of clothes being damaged by walking through trees to 1 in 3.",
Underweight, "Obese, Overweight, Very Underweight", 6, "Low strength, low endurance and prone to injury.", -1 Fitness. Starting weight is 70 and is only present between weights 65 and 75. 80%x melee damage. +10% chance to trip by while run/sprint vaulting a low fence or from lunging zombies. 85%x chance to fail a tall fence climb.,
Unfit, "Athletic, Fit, Out of Shape", 10, "Very low endurance, very low endurance regeneration. ", -4 Fitness,
Unlucky, Lucky, 4, "What could go wrong for you, often does.", -10% chance of finding rare loot. +5% chance of failing item repairs. Affects search mode. Not available in multiplayer.,
Very Underweight, "Athletic, Hearty Appetite, Obese, Overweight, Underweight", 10, "Very low strength, very low endurance and prone to injury.", -2 Fitness. Starting weight is 60 and is only present between weights 50 and 65. 60% melee damage. 20% higher chance to trip by while run/sprint vaulting a low fence or from lunging zombies. 75% chance to fail a tall fence climb. 10% more fall damage.,
Weak, "Feeble, Strong, Stout", 10, "Less knockback from melee weapons. Decreased carrying weight.", "-5 Strength,-40% knockback power (damage does not decrease).",
Weak Stomach, Iron Gut, 3, "Higher chance to have food illness.", 200% chance of food illness. Food illness lasts longer. Check Health for more details.,
